Minisector,BOT,STR,Fastest
0,306.61128752592595,292.15023447333334,BOT
1,234.31219005507705,225.0488950811944,BOT
2,120.74817404087291,131.10912938194005,STR
3,211.91644467532467,211.16302803751327,BOT
4,258.8272115504214,259.1392307082251,STR
5,285.1575112112281,285.23981412063495,STR
6,295.17230408784314,298.48961723117606,STR
7,276.3702077288854,271.99102043657143,BOT
8,163.1098871978726,165.641525118287,STR
9,234.7453489551297,233.062776608,BOT
10,266.1465338352941,268.2701398151871,STR
11,254.1334349744875,262.0834952063825,STR
12,198.3757193216,207.39337626666668,STR
13,124.73501476805167,125.87819771219492,STR
14,120.78999742462922,122.21790461331716,STR
15,151.34970482196078,168.91355526846982,STR
16,121.69974078686896,120.62226675366256,BOT
17,224.34236272696714,219.95274923869673,BOT
18,170.19734268979389,195.3448715687257,STR
19,155.58052213978021,147.5723247153091,BOT
20,241.97564281127902,238.57260629918636,BOT
21,269.23098569312174,267.95190425635855,BOT
22,285.65195026714287,285.388507947563,BOT
23,295.53955871968805,296.73525720156863,STR
24,302.13318457142856,302.31845632969697,STR
25,303.71250026666667,304.6531248,STR
