Minisector,NOR,LEC,Fastest
0,311.0130436173913,292.12155779710145,NOR
1,319.46187504,300.6278984811594,NOR
2,287.0947178236827,283.40900275581816,NOR
3,115.27787884772908,112.77010523606636,NOR
4,227.43536355171094,230.29568893793103,LEC
5,269.85285221587304,272.11660082040106,LEC
6,211.42129573244392,207.2861534117647,NOR
7,176.2120497009009,175.0287293673047,NOR
8,220.63822895087878,219.0082827276919,NOR
9,224.5854167822222,227.601075706298,LEC
10,116.5419667038088,118.14136986592094,LEC
11,231.75463650333447,232.16532127594843,LEC
12,118.78566345472917,120.40587343328004,LEC
13,227.87383121088436,227.81401804400656,NOR
14,271.71527777777777,273.7062496888889,LEC
15,215.51199925284178,218.2170324457143,LEC
16,207.00192012288787,202.86045377939394,NOR
17,253.01589503209877,255.63040098765433,LEC
18,193.03347003209896,203.62005387488762,LEC
19,194.3421828133922,190.96468722913164,NOR
20,266.72942533977266,263.797069192674,NOR
21,284.889384984127,288.43576377777777,LEC
22,166.72077444270514,163.43289791065558,NOR
23,217.68288759668047,221.5177408,LEC
24,271.85905801407864,274.0772560203106,LEC
25,285.2875008,,NOR
