Minisector,NOR,LAW,Fastest
0,248.53229158445055,251.77510245260385,LAW
1,284.5552550257143,285.6789547857875,LAW
2,182.14633417646465,169.416674205059,NOR
3,153.30806610445183,142.17929653946362,NOR
4,261.097549408,257.48038379282053,NOR
5,274.52409983546636,272.0615505030491,NOR
6,237.77992570675886,236.17754031989418,NOR
7,209.18111114697538,212.24727332703242,LAW
8,156.20901645022997,163.7557172895253,LAW
9,223.114830671746,215.573942945791,NOR
10,276.50531891022223,268.22015591999997,NOR
11,131.56129717231647,134.19158577250374,LAW
12,210.6258882113805,203.55355620774603,NOR
13,275.89795634511495,273.456883487361,NOR
14,296.6498837135238,296.78834045567254,LAW
15,306.7480891853447,307.53575576419047,LAW
16,255.75828456445598,246.89275500125487,NOR
17,127.80233988392048,127.2894812916322,NOR
18,127.58832260250706,132.78031558960825,LAW
19,122.51009147367253,115.99904092752833,NOR
20,226.21388374432212,226.13408594813185,NOR
21,261.6433610091629,260.2358884871111,NOR
22,247.49850055864073,238.50350330373627,NOR
23,224.64217208724273,214.09788384519555,NOR
24,137.34391198437115,141.12178947156082,LAW
25,217.0,,NOR
