Minisector,LEC,RUS,Fastest
0,281.55954074525573,274.4175734002771,LEC
1,304.2649679722449,299.99561152,LEC
2,318.54993704067226,314.0067768420024,LEC
3,325.4810732250245,321.5780991866667,LEC
4,329.5099064642177,325.6182603870145,LEC
5,331.97972222019047,326.25890608761904,LEC
6,205.01389865805922,204.11754969959276,LEC
7,112.22046266736865,104.5253684922172,LEC
8,198.35376583825993,193.70562654507142,LEC
9,269.60572373979795,261.03495857296576,LEC
10,297.7283657037331,290.560403968576,LEC
11,166.77392348081634,163.82654417220883,LEC
12,95.5614184938839,97.59237669391567,RUS
13,123.2966715338453,117.24272674186902,LEC
14,227.65933945043477,216.6963792,LEC
15,195.53071519048524,192.54045391165045,LEC
16,238.59548634745826,226.31127040528926,LEC
17,188.33091246324804,185.08295397608856,LEC
18,243.2363191661376,239.4349442550376,LEC
19,283.3912366447972,278.1198287644445,LEC
20,252.93162691291863,239.7438954907726,LEC
21,153.35840824819624,147.19851788050954,LEC
22,98.43824939015622,99.714766324101,RUS
23,128.22731761365057,129.65164434443415,RUS
24,231.97273812813853,228.473376352,LEC
