Minisector,RUS,OCO,Fastest
0,283.81345132279574,282.9825493127075,RUS
1,300.19490638080475,296.8206221256288,RUS
2,231.23610829357906,244.81428364642014,OCO
3,114.69347532629058,117.29389907740916,OCO
4,136.6114889192728,136.59706608321494,RUS
5,256.4078679749404,252.21032434487984,RUS
6,259.5676238095238,272.3055051561077,OCO
7,124.46863529788385,121.61388235414042,RUS
8,249.32808221223888,246.34082026275019,RUS
9,250.51387967717943,266.0412464397187,OCO
10,209.97873372447137,206.3831160728622,RUS
11,144.3816607106441,142.54519495512778,RUS
12,217.57018269333332,202.67432296519902,RUS
13,265.1042380496296,267.22550481491834,OCO
14,119.62035244760352,120.65501913736377,OCO
15,192.5890682416194,189.39206986169245,RUS
16,263.5430722074074,261.90363846074575,RUS
17,292.890684823716,290.9967940287446,RUS
18,306.99043859649123,304.14963449536333,RUS
19,312.58514829712084,310.86801955463204,RUS
20,316.35552631578946,311.9455356495238,RUS
21,181.17451804674425,190.11795008993272,OCO
22,146.82928231041845,135.2964269466007,RUS
23,212.19237151890812,206.94568035926739,RUS
24,239.45438442016507,231.53237197498086,RUS
25,272.2142857142857,267.63333375999997,RUS
