Minisector,STR,PER,Fastest
0,272.79639078717065,286.40515393729436,PER
1,289.8743735017544,310.9216185682967,PER
2,296.2050928,316.9775934028011,PER
3,129.83574195017786,127.92709732958976,STR
4,207.2014762553792,202.67962249963372,STR
5,258.7370720077563,261.22354245488503,PER
6,144.35855789778455,140.82235425688546,STR
7,214.53731077159614,204.81763467294564,STR
8,263.76919622857145,258.5031737904762,STR
9,281.10407255739347,282.64436036821394,PER
10,251.59120436464315,234.98625012139465,STR
11,187.18347801116585,182.04053491612905,STR
12,197.3445981925926,192.81188118997989,STR
13,143.01228321629506,141.72795671122918,STR
14,188.32982231111112,178.38813223292172,STR
15,167.49045745,164.13176616546124,STR
16,227.62704439917184,220.49416554666666,STR
17,237.26250045879917,238.68671816475592,PER
18,241.86440219679645,236.96653605957582,STR
19,231.95181328695654,243.90119169855075,PER
20,147.07107661128148,142.76062655058203,STR
21,136.97363664616609,138.58922031144263,PER
22,177.41100455151704,170.17780040657203,STR
23,152.54227846771943,150.9726677814051,STR
24,232.08253074285716,226.04310793781033,STR
25,259.75,257.2888881777778,STR
