Minisector,SAI,NOR,Fastest
0,295.1427814808768,280.5898864724647,SAI
1,319.68350222370856,299.5082559284472,SAI
2,311.9561180124224,301.2745289524436,SAI
3,182.52321266243746,179.67135219064807,SAI
4,219.09971126233768,218.3119955638871,SAI
5,207.27468899263738,204.44640970445832,SAI
6,181.5290384006173,179.7910635842735,SAI
7,209.307355575459,203.19651959753855,SAI
8,260.24458513846594,256.50776819036577,SAI
9,265.94569113756614,264.6596008100251,SAI
10,166.42375336950664,164.9706979552691,SAI
11,234.60355406995205,238.39714543836735,NOR
12,119.98650291237519,114.13000063003528,SAI
13,223.98910262185356,227.54232437525891,NOR
14,277.24446430056,278.89615231603307,NOR
15,293.5008383669841,292.5151055704924,SAI
16,219.52435010831036,205.65628775999392,SAI
17,188.31298268698413,188.67207002025094,NOR
18,265.14980911260994,268.6630154422222,NOR
19,290.9215344084656,293.1822281767085,NOR
20,299.80314982389507,304.43270514527586,NOR
21,300.44406635693406,304.87427706666665,NOR
22,282.6569635667136,265.96305780022857,SAI
23,115.7795946987663,115.17221573728395,SAI
24,234.7998277083184,235.99787989372405,NOR
