Minisector,HAD,SAI,Fastest
0,244.73312409481483,266.85624148002086,SAI
1,132.755980835745,135.96765473458822,SAI
2,202.33532847238095,202.33989017415894,SAI
3,240.67619221865817,245.3178914185695,SAI
4,256.5345120386552,260.56562572444443,SAI
5,184.11394737381983,180.97335966791533,HAD
6,145.6687114766432,154.71685510753485,SAI
7,183.6064629309146,189.87302699672588,SAI
8,104.33487081033712,105.20718617778293,SAI
9,73.86261470713883,70.42932849146621,HAD
10,94.35550708014854,96.77824590877337,SAI
11,172.5912503632253,186.06311956902357,SAI
12,237.21128210971253,244.68869854257957,SAI
13,261.45613553244044,268.19903112489794,SAI
14,270.35150449959184,279.2922984565657,SAI
15,113.28587021854105,109.93861169421466,HAD
16,140.1437220119228,155.04029430744052,SAI
17,181.28840174222222,190.15989729585877,SAI
18,191.163846058271,206.33087115412772,SAI
19,214.86405081723686,216.8575080754401,SAI
20,132.44989877469922,141.1541148742704,SAI
21,113.90060834309956,112.0291051905461,HAD
22,100.8360520339473,103.40772334145608,SAI
23,199.19132884825396,198.84405411862323,HAD
24,245.54290442983998,251.07245520506396,SAI
25,259.92000512,,HAD
