Minisector,HAM,BOR,Fastest
0,247.2014824911207,244.4627128877598,HAM
1,135.8814243185423,136.56417836037414,BOR
2,276.80021697374696,272.92653368886306,HAM
3,315.37128679336854,305.4675875299171,HAM
4,297.488320279001,290.97135067715936,HAM
5,320.124902081724,308.5195224515667,HAM
6,321.0482856484571,308.3051871290964,HAM
7,316.7059284658205,306.54646013816875,HAM
8,200.15290204511322,202.19014341088877,BOR
9,187.73097491045235,189.10058632103383,BOR
10,175.91001217154945,182.01228001392846,BOR
11,169.50651106734574,174.494459946592,BOR
12,245.56220148201078,242.76535623989201,HAM
13,264.0211559920251,262.1266572420876,HAM
14,266.44419062439545,263.87026388622223,HAM
15,251.69332343673472,256.65994046258754,BOR
16,173.93122395283217,175.60014149849889,BOR
17,188.7944882551974,187.92947107386493,HAM
18,254.90264165050965,240.07764116392156,HAM
19,303.22093512936834,286.30632931074985,HAM
20,316.69313519777853,311.18535697632655,HAM
21,291.7846091279015,292.58813625593353,BOR
22,275.23082002381227,275.13046397246666,HAM
23,247.03442271845972,234.89010349394457,HAM
24,117.62576080052722,120.98839351764677,BOR
25,,220.5138891851852,BOR
