Minisector,VER,STR,Fastest
0,304.339996256,316.685191384669,STR
1,159.4995307469398,158.28865354663964,VER
2,153.70715386563063,147.107238056283,VER
3,235.83322378239998,230.19177380498593,VER
4,286.41598924634303,285.83301698782367,VER
5,288.22979794882156,288.195399369697,VER
6,146.7138868581755,142.3317500875292,VER
7,148.78076848851046,139.78232299523503,VER
8,142.72791291714583,139.65404335492062,VER
9,190.45211395749686,196.3127321958704,STR
10,132.18976822323415,124.24419245268969,VER
11,126.6686788839247,125.42231626762495,VER
12,162.49698823548346,178.93731170496625,STR
13,267.1637342741864,268.61634115747364,STR
14,297.7285651437037,291.57718320166737,VER
15,147.3001164038951,144.40496083294175,VER
16,208.22362268743686,200.95431217851132,VER
17,170.9528345027916,167.46612054120016,VER
18,271.85484984300143,272.90441544045717,STR
19,297.7031345801595,296.5658618424242,VER
20,312.38354255312794,311.5179590461836,VER
21,321.2037880193939,319.76776805236364,VER
22,325.9460606836364,325.6794497816906,VER
23,327.7113487157895,328.80902936929294,STR
24,328.3829561904762,327.9589597000756,VER
