Minisector,STR,SAI,Fastest
0,272.79639078717065,271.92777757460317,STR
1,289.8743735017544,289.0719905777778,STR
2,296.2050928,293.20612542299267,STR
3,129.83574195017786,130.00731658319825,SAI
4,207.2014762553792,208.17369444884946,SAI
5,258.7370720077563,253.6632582095238,STR
6,144.35855789778455,142.64181181484773,STR
7,214.53731077159614,215.3906657706667,SAI
8,263.76919622857145,261.027958210027,STR
9,281.10407255739347,279.1660088140351,STR
10,251.59120436464315,242.40194162959907,STR
11,187.18347801116585,183.50485912606575,STR
12,197.3445981925926,199.64969571470016,SAI
13,143.01228321629506,143.7242972991453,SAI
14,188.32982231111112,187.6039449989958,STR
15,167.49045745,169.32315808571428,SAI
16,227.62704439917184,225.80632242845152,STR
17,237.26250045879917,237.67302476190477,SAI
18,241.86440219679645,246.36317578492407,SAI
19,231.95181328695654,226.1571427679132,STR
20,147.07107661128148,148.5289343703704,SAI
21,136.97363664616609,130.38728136876364,STR
22,177.41100455151704,181.27861052444445,SAI
23,152.54227846771943,152.8703622255507,SAI
24,232.08253074285716,234.42447841212123,SAI
25,259.75,,STR
