Minisector,RUS,RIC,Fastest
0,286.1290773409524,285.8899128633555,RUS
1,209.0016594901099,204.3184907972286,RUS
2,224.82517247531374,229.30063331470643,RIC
3,270.2026444539362,270.14713266996824,RUS
4,241.16632801009007,241.85030611696067,RIC
5,132.5728226605729,131.48899862729834,RUS
6,214.7672971220202,210.22579515576547,RUS
7,260.81363811935745,258.4742614401616,RUS
8,249.67659992958153,241.9563964514152,RUS
9,235.21552080099192,230.0555011646984,RUS
10,272.75802856412184,272.4553747559116,RUS
11,289.6684348882452,289.3907335205776,RUS
12,301.1664457198746,299.44845481058985,RUS
13,305.85699554971427,304.89595239619047,RUS
14,303.0836169386667,298.26403831085713,RUS
15,257.90606856171183,248.76628688902542,RUS
16,242.25422246345914,240.11354972729362,RUS
17,275.09441922599046,276.91556028412566,RIC
18,289.36938669515524,282.44059509333334,RUS
19,151.74491405335604,151.6131792608826,RUS
20,210.61334680702726,211.6253972435297,RIC
21,185.95859684431016,182.7765304837051,RUS
22,139.41316211778752,137.19477649107145,RUS
23,231.95165171315261,235.65983786974834,RIC
24,275.4012193979221,276.37235627186345,RIC
