Minisector,VER,RAI,Fastest
0,291.2610157992419,310.4549879630871,RAI
1,300.55955311075695,329.70736184597007,RAI
2,285.41689585005463,304.6218877633773,RAI
3,112.8281834036576,110.55295672080038,VER
4,226.22271286009519,224.48810461851264,VER
5,265.3547883751655,272.3475521900734,RAI
6,206.76138644795103,222.2038208352388,RAI
7,164.4231963457875,160.3878339630181,VER
8,201.49241861659172,195.59650234573812,VER
9,217.60495840815886,210.11546245851562,VER
10,112.98012259298349,114.1179434608263,RAI
11,227.68759451308443,225.45100820413725,VER
12,115.67527975881345,115.45698307360308,VER
13,221.67945577829633,225.42360932946045,RAI
14,271.7897445275787,282.8931599002034,RAI
15,225.40392006518584,214.63542308234898,VER
16,203.89407698327182,189.19028727856463,VER
17,250.59258129063141,253.46596981647252,RAI
18,201.20999134698442,204.61663291549394,RAI
19,184.8782929295813,175.17435083050836,VER
20,267.81655403313755,267.87605932538463,RAI
21,294.2116394833481,294.48473333418576,RAI
22,163.03819898720658,161.43530127267613,VER
23,210.9077092986252,203.29993568645932,VER
24,271.6590394740443,276.10971327902115,RAI
25,283.97499946666665,296.05,RAI
