Minisector,HAM,RAI,Fastest
0,297.72321401904765,308.40479175111113,RAI
1,251.70780921010507,254.91654167869717,RAI
2,199.12569345777777,204.1495007066052,RAI
3,265.06529328194597,267.26547479307476,RAI
4,220.76233883900227,236.36312486587738,RAI
5,122.58227500161655,121.28774007956196,HAM
6,183.5998063327731,176.63992254920512,HAM
7,257.29501633721935,257.9741112663548,RAI
8,289.1011435818198,289.2022723393939,RAI
9,303.24749994666666,302.6401017078748,HAM
10,308.1679820165951,307.2693273261237,HAM
11,235.51053011592083,235.63422613665628,RAI
12,148.14516385489677,146.0290379088557,HAM
13,257.07606660443054,256.9600074355917,HAM
14,290.29705075670995,289.6422343757576,HAM
15,299.4452380444444,299.82062496,RAI
16,293.0418019116883,297.2168651174603,RAI
17,257.52130736209523,260.84457464250164,RAI
18,188.58684762641255,179.25059471238094,HAM
19,189.05773612970918,189.9864413784979,RAI
20,182.9460814566042,185.30455970142899,RAI
21,251.10554744685712,247.09666756266665,HAM
22,131.56444247249615,128.59535573270475,HAM
23,200.70455595723124,204.38453547618005,RAI
24,276.54317944126984,278.62426105295236,RAI
