Minisector,BOT,OCO,Fastest
0,255.55645892491577,254.37725510112685,BOT
1,217.8336614529765,213.0031130746244,BOT
2,204.81664996376418,202.360476561338,BOT
3,260.0560110585727,255.59800236098414,BOT
4,275.05729003547685,267.8137660468755,BOT
5,286.00471012173915,289.08637361744695,OCO
6,165.24589353147536,163.90914827344537,BOT
7,183.40510890368554,182.8518645019791,BOT
8,266.80836284749597,267.5022261754929,OCO
9,292.7298622153799,293.42728916236535,OCO
10,303.88154608579504,304.2064495544777,OCO
11,303.592919833173,309.51345487480756,OCO
12,115.96478136524595,112.89546522802118,BOT
13,188.1515493447407,185.96020369707898,BOT
14,270.452576856222,272.1149095491869,OCO
15,295.22076175105246,296.8676826409122,OCO
16,297.0879726259605,304.16079182647474,OCO
17,192.2225827615218,179.837733055336,BOT
18,227.1771853000885,220.50829495877605,BOT
19,269.91597994530895,263.63621646244627,BOT
20,152.997526957232,149.97375427936024,BOT
21,148.96961397954567,141.8932234128956,BOT
22,224.14631887307291,219.39289901489573,BOT
23,228.51185661872253,223.0938868590669,BOT
24,160.57896131125824,156.52299887505123,BOT
