Minisector,HAM,NOR,Fastest
0,264.72300352016845,269.0052538474163,NOR
1,282.2109843530159,290.34576362666667,NOR
2,282.5801551539145,296.568245252845,NOR
3,127.0925864930773,124.89338688779196,HAM
4,194.55049221016722,189.27196461662018,HAM
5,256.6145671348148,254.36830425592282,HAM
6,139.3467064394277,136.52470497905014,HAM
7,200.35506285073595,192.5298201447619,HAM
8,256.37709175017545,253.62032504755794,HAM
9,276.81048587555557,273.85681079634855,HAM
10,229.0307597303412,229.47091558956524,NOR
11,175.84260146259442,184.47770400881618,NOR
12,175.16073391733008,182.890363939798,NOR
13,141.04426371285714,146.0754298092953,NOR
14,170.77239001128171,160.07088538855868,HAM
15,156.47292830222224,150.66196085818748,HAM
16,213.0750162536332,202.46658599442657,HAM
17,228.1015997279811,231.4157204935663,NOR
18,232.465179078557,225.32707540711345,HAM
19,239.98755291924505,253.29744769003378,NOR
20,145.77837879036414,139.00900093096158,HAM
21,137.54224631476038,139.6128775394802,NOR
22,166.85856419438008,151.31392120651543,HAM
23,151.12187656393266,146.70154034130056,HAM
24,225.30324333718391,214.66613395187505,HAM
25,248.9624992,246.52307593846155,HAM
