Minisector,BOT,RAI,Fastest
0,291.04073335271374,277.6864584789372,BOT
1,312.6776295564946,296.33082921862217,BOT
2,246.92995612201287,227.81662167812377,BOT
3,120.9492373519037,118.80436220597434,BOT
4,141.97643268275573,138.72381235513217,BOT
5,253.28333040638162,247.68755922881107,BOT
6,247.991488049474,256.2889235520422,RAI
7,131.8316258557781,127.35504104585472,BOT
8,250.5979668408264,244.6337139643728,BOT
9,265.0909189877556,250.03490140507404,BOT
10,210.845919340293,207.74567205527393,BOT
11,148.5680477163646,144.0598680436083,BOT
12,223.0503266839953,207.85489991873072,BOT
13,257.46620922272496,256.0060562388439,BOT
14,117.78948675847033,114.46241520731226,BOT
15,208.34033594507272,191.14081655303445,BOT
16,264.12450176598264,254.43319491161432,BOT
17,292.5170491418456,283.26694851200523,BOT
18,307.70004137062034,295.66031071730276,BOT
19,321.7264809161082,303.16866193541154,BOT
20,330.54048910173356,305.38730780172403,BOT
21,157.51327854849427,169.20396943702443,RAI
22,153.6829997155364,149.90861760708432,BOT
23,183.75862599247807,192.55239896240104,RAI
24,238.52608830591683,229.81601210249846,BOT
25,275.5208373333333,262.1249984,BOT
