Minisector,RUS,GAS,Fastest
0,286.1290773409524,288.660906540211,GAS
1,209.0016594901099,206.09129583654098,RUS
2,224.82517247531374,222.98566208422207,RUS
3,270.2026444539362,270.15751488,RUS
4,241.16632801009007,245.18441719906758,GAS
5,132.5728226605729,128.6969705771609,RUS
6,214.7672971220202,210.52611684952382,RUS
7,260.81363811935745,254.3743963089039,RUS
8,249.67659992958153,237.08298788500957,RUS
9,235.21552080099192,232.13352335783392,RUS
10,272.75802856412184,272.07473543837943,RUS
11,289.6684348882452,289.05147435885715,RUS
12,301.1664457198746,299.58661439668265,RUS
13,305.85699554971427,304.54627689280755,RUS
14,303.0836169386667,300.12820855714284,RUS
15,257.90606856171183,250.62123073430894,RUS
16,242.25422246345914,236.49041705904764,RUS
17,275.09441922599046,274.1572852864,RUS
18,289.36938669515524,286.9678908341568,RUS
19,151.74491405335604,163.57647357099805,GAS
20,210.61334680702726,208.07120062944713,RUS
21,185.95859684431016,180.35405216127472,RUS
22,139.41316211778752,138.8238467662404,RUS
23,231.95165171315261,231.84307763692308,RUS
24,275.4012193979221,275.7153674216237,GAS
