Minisector,VER,ALO,Fastest
0,294.00734374269837,289.46766132155847,VER
1,167.79959670483439,153.9176030374687,VER
2,174.16979486192753,173.66972794766082,VER
3,251.60227958719264,253.8885866381215,ALO
4,288.42102711869654,288.0267858943723,VER
5,256.4247121811582,247.59232629629628,VER
6,229.21719758955822,228.28341334857143,VER
7,156.54178295344346,160.32717017522197,ALO
8,230.48528752965078,228.42307142942497,VER
9,281.34911973618347,280.0490219270669,VER
10,299.9306413619295,299.15158646627185,VER
11,308.58545491897047,307.5644607843137,VER
12,313.06969246031747,309.82282988888886,VER
13,314.220918214966,308.0025999975064,VER
14,138.54591192680476,131.47350513125363,VER
15,127.04667051154846,120.78199807310328,VER
16,102.46848640506535,104.35846471735684,ALO
17,234.40825399712614,233.99370553812244,VER
18,288.39047065475836,289.2510351974522,ALO
19,307.9534475424339,306.65103319681043,VER
20,318.19992575914955,315.7688016108392,VER
21,323.6303921568628,320.3824305422222,VER
22,133.06608004609186,128.46385699984208,VER
23,193.8820066320599,196.87684172895376,ALO
24,269.5308341056318,267.67237633809157,VER
25,283.9062496,281.7157116354253,VER
