Minisector,VER,HAM,Fastest
0,269.1423719471623,268.6188972382587,VER
1,289.47643242718885,288.0702649595682,VER
2,298.76043951048206,285.11035687597706,VER
3,128.46152340888906,122.35036985034304,VER
4,195.28709145171513,191.28653321349822,VER
5,253.4258778031746,248.30218911890947,VER
6,140.19296480178593,140.12164008243607,VER
7,201.38553349004144,202.19123085040653,HAM
8,257.46729092396606,254.2947633970539,VER
9,283.3996861245772,276.62863028334857,VER
10,236.79527429943965,230.78452784037768,VER
11,185.25700829547102,172.56724944915084,VER
12,183.4330721905028,185.86707298616008,HAM
13,149.99518850740182,145.61747581977804,VER
14,174.80001866021504,179.55278347726394,HAM
15,163.77897728989294,158.54520429183665,VER
16,214.25927477285038,215.4916287621983,HAM
17,239.37804700813186,234.27551981946755,VER
18,242.30806634855546,237.93815245056206,VER
19,249.28450711143088,249.1984307544759,VER
20,144.25368881605914,139.0736980019565,VER
21,137.0690603917355,136.4976412561045,VER
22,166.74389468354732,167.00660840205092,HAM
23,152.97394454999272,150.21096478971924,VER
24,226.5714913466834,222.2951604637681,VER
25,,251.8728184136169,HAM
