Minisector,PIA,ALO,Fastest
0,249.05210212539683,248.77384104085237,PIA
1,286.07987560495246,286.8873584384226,ALO
2,172.26597843267584,158.3980538507525,PIA
3,159.0583475941875,157.43710696972363,PIA
4,258.1820506824909,256.33483663390473,PIA
5,273.57730618981105,269.05824499478257,PIA
6,251.24186411933496,238.09988273808003,PIA
7,209.3855839180508,213.48907305385623,ALO
8,160.8030130784997,157.66807675416163,PIA
9,220.64123851894786,217.36221382793264,PIA
10,273.84746575805787,271.6819629549311,PIA
11,129.56131162778087,126.83971515662563,PIA
12,215.25772801327562,208.1683361132207,PIA
13,276.36573828455795,276.16751557163417,PIA
14,296.1001558961039,296.9991368022626,ALO
15,304.3211273820609,306.5779605052632,ALO
16,246.4809711335421,237.14775463544973,PIA
17,124.25965991674235,129.2120832064221,ALO
18,126.97649529513863,126.77241948110974,PIA
19,110.67926834993608,117.93170715196351,ALO
20,226.68748149903175,217.30673108182455,PIA
21,261.9014129388152,260.8644109226369,PIA
22,248.81449734836124,236.9600676121929,PIA
23,217.44062142909883,212.1966887990988,PIA
24,137.9132119540553,137.11296351843941,PIA
25,,216.26666666666668,ALO
