Minisector,BOT,OCO,Fastest
0,304.6892214167775,287.88482699298896,BOT
1,321.7398180651629,298.8504388491228,BOT
2,327.13949578039217,302.7942984421053,BOT
3,324.0276323368421,302.38442767719295,BOT
4,182.04980883254345,170.00120454179896,BOT
5,217.0336450652608,201.86871107359397,BOT
6,245.64492716521738,225.80366737066666,BOT
7,266.9094424588745,260.5479474210658,BOT
8,258.73505036179887,251.91448885797104,BOT
9,167.72607693672762,157.97042979144786,BOT
10,230.1712004935649,224.70432804102563,BOT
11,133.5988322561588,130.4100980252398,BOT
12,228.75623780115063,227.77728791161906,BOT
13,194.49589157357912,182.3867778873939,BOT
14,226.39569960664406,214.15602054320988,BOT
15,249.90362342028988,236.82281445369117,BOT
16,264.697050569697,257.0480083014493,BOT
17,283.97515839069723,280.49226224761907,BOT
18,164.0304239742945,162.3339083851852,BOT
19,176.28992630101754,165.79401227216115,BOT
20,148.02898557853348,141.24523968793983,BOT
21,174.98306425869657,165.1587378965352,BOT
22,116.86262608554172,111.14789420696454,BOT
23,223.9575106367617,215.18201756086782,BOT
24,270.9005678060606,265.6296588079382,BOT
25,284.44166613333334,280.3625024,BOT
