Minisector,LEC,SAI,Fastest
0,300.07112115980993,294.41036852002986,LEC
1,255.04870790189997,246.90254281180702,LEC
2,208.32465320966776,205.09072199389416,LEC
3,270.94604991929276,270.06345752492876,LEC
4,232.55351916430124,229.00618999787312,LEC
5,117.50850640531468,118.35674319897734,SAI
6,181.65978151725108,182.26609339780597,SAI
7,258.5522659646258,259.28655635489037,SAI
8,287.43139449982186,288.77787312217316,SAI
9,300.7141383495033,301.22227658190184,SAI
10,305.98150926725873,302.0847358955798,LEC
11,237.82983907967798,212.18893746229057,LEC
12,147.17883323004764,151.1909922193957,SAI
13,259.4670791994365,261.34915311936567,SAI
14,290.34489456477866,290.02445061718095,LEC
15,300.5968219600119,299.268253968254,LEC
16,298.17888300025936,297.3820279686029,LEC
17,269.3034949669038,258.791905599294,LEC
18,195.98640837560603,195.61315891963537,LEC
19,191.63607377133033,181.94805786930797,LEC
20,194.5747568974024,194.15701392660233,LEC
21,253.778025667695,251.08797269182014,LEC
22,129.4347116553054,126.27808397008519,LEC
23,202.25711502390854,211.04863820638283,SAI
24,279.0749965258373,278.44847589649754,LEC
25,293.1562512,,LEC
