Minisector,LEC,KVY,Fastest
0,275.69574742054283,275.989275228713,KVY
1,291.71964281904764,292.6661137360316,KVY
2,283.16954050199837,284.7515721067934,KVY
3,183.69745831501723,173.28492843567906,LEC
4,132.3636095535924,132.22942446231613,LEC
5,244.54791234126318,248.03477022947143,KVY
6,284.25273608200115,295.867548735598,KVY
7,291.5907730458722,301.78608126161885,KVY
8,180.11602958874624,165.24322930076312,LEC
9,148.48894267179483,149.540004355187,KVY
10,256.5864360937956,256.56634014427885,LEC
11,286.96812789016434,288.78270325047106,KVY
12,295.84568996213517,297.7324633618057,KVY
13,284.9867607535482,283.2642540766532,LEC
14,296.59184386359755,300.6693934181072,KVY
15,293.65850116955295,301.9261455605268,KVY
16,262.10332280685594,244.14389341134327,LEC
17,230.24009678451367,226.04170448577767,LEC
18,281.7393229218385,288.615543004898,KVY
19,300.5841406029279,317.9880943390989,KVY
20,299.9663647584296,317.7468323723468,KVY
21,231.0531324627275,209.4940020154028,LEC
22,262.3698128278824,253.05850183654,LEC
23,139.39067606047038,135.02101151327807,LEC
24,220.31854382179182,230.73611897156385,KVY
