Minisector,ALO,HAM,Fastest
0,301.3231646710104,285.5589542985432,ALO
1,155.27294843792015,150.98345274153326,ALO
2,148.9252239707244,144.01379835029837,ALO
3,226.806279837788,231.01891982283905,HAM
4,285.99145034444444,289.7491505487528,HAM
5,289.3553675522932,289.76362206997453,HAM
6,143.81027171084634,136.00305105079516,ALO
7,136.5403458529518,134.70817391224648,ALO
8,133.92226612705437,128.7883337958807,ALO
9,186.73565007407407,183.06708719511957,ALO
10,125.26431580999488,121.35633572619037,ALO
11,126.45197964129649,123.73864811485814,ALO
12,159.94054081823722,151.46985485762588,ALO
13,268.33945595163857,267.3100787065692,ALO
14,293.1027178666667,295.1751657659259,HAM
15,138.14810531024762,145.10754773768417,HAM
16,196.46196363330375,199.12896998487355,HAM
17,164.63615249670664,164.39206134630095,ALO
18,272.2481502374432,272.64006170871386,HAM
19,294.8507396858608,298.5012229077686,HAM
20,309.10941647375705,313.4694501927722,HAM
21,317.3128655345029,323.9063494095238,HAM
22,322.3279816171768,329.09832358746047,HAM
23,325.8815908072727,332.9611741818182,HAM
24,325.5971490694737,332.875816993464,HAM
25,323.2240667426522,333.5718748,HAM
