Minisector,HAM,MAG,Fastest
0,325.52435199818086,323.7358523999204,HAM
1,334.4604630602385,332.6300556757143,HAM
2,338.0723322709915,332.161314592254,HAM
3,194.33689479111112,191.1918752566712,HAM
4,135.1168648122673,130.94237792407407,HAM
5,265.9595104884656,267.765180253898,MAG
6,301.69943473902475,302.44648018979603,MAG
7,318.61387434301616,317.4746328507936,HAM
8,281.9876959240514,287.82524349729465,MAG
9,142.92033550209604,139.5783799762465,HAM
10,231.43905467790657,221.6154911925798,HAM
11,234.03500244605246,221.32556960251264,HAM
12,207.15255671988822,198.32867132247824,HAM
13,269.3903003924387,266.44414343953173,HAM
14,307.26145192565417,304.72210324745197,HAM
15,325.49287827482993,321.59496511111115,HAM
16,276.4719768560501,287.6355945788958,MAG
17,214.4454999605346,207.94353059235397,HAM
18,280.3949155652896,272.2362586925869,HAM
19,311.49707143585374,305.7942723309133,HAM
20,326.36749404559885,322.47854594071,HAM
21,319.64557296,317.6903860267396,HAM
22,214.41963479571427,211.9924456362795,HAM
23,271.5194623037441,264.6607372568381,HAM
24,303.97361771730715,302.6200538710391,HAM
25,312.26499904,317.8074069333333,MAG
