Minisector,OCO,VER,Fastest
0,263.4464423883422,264.9448860888769,VER
1,125.25379858083234,151.09722924008892,VER
2,196.53593351303692,175.80674542400715,OCO
3,246.8445494996683,241.05754975398557,OCO
4,259.44451921379425,261.26882897418,VER
5,170.09047679999998,198.23613907103703,VER
6,139.8488961433954,154.4146739478261,VER
7,182.1446056055322,170.41789348556543,OCO
8,102.90476983424813,118.20669294187577,VER
9,73.37096645757187,83.19951136300315,VER
10,93.65946438026246,96.5327170478978,VER
11,175.3240056708776,143.3562825397771,OCO
12,245.4385529339279,236.76956253095125,OCO
13,271.0755046362055,264.2076923076923,OCO
14,281.0437978139194,280.21701386666666,OCO
15,112.71231051988946,178.88380536731486,VER
16,139.32372600658638,105.824375097447,OCO
17,182.41059147282493,205.34824664009437,VER
18,191.76916678141592,185.8793233082707,OCO
19,206.59782779788557,228.21171432957541,VER
20,127.94541383695228,145.4349805809615,VER
21,114.38461566043237,160.1933053340103,VER
22,90.58411517675198,82.8011544183301,OCO
23,192.09489659084227,161.35672299529887,OCO
24,251.25992672823432,240.35595871540775,OCO
25,,256.7124992,VER
