Minisector,PIA,RUS,Fastest
0,274.74411761045195,269.49816686842905,PIA
1,231.90427837121024,244.1731492739469,RUS
2,119.00886768097479,117.03559219883968,PIA
3,171.91505484937326,171.22656779064582,PIA
4,187.96168976737326,193.65928958754736,RUS
5,202.27771293735276,197.38810891567107,PIA
6,267.6723217038961,262.43303549002076,PIA
7,289.2873530729412,285.20902803137255,PIA
8,230.37519588431246,228.59965683039593,PIA
9,147.97762899175868,145.59692896279356,PIA
10,123.31038173015763,117.14214329231511,PIA
11,161.5390959678673,151.54281270422595,PIA
12,244.2506344645066,243.41220747881297,PIA
13,149.54353884773107,144.2878404621869,PIA
14,153.75696000694754,149.0090959741557,PIA
15,105.61358544224353,105.6482126831669,RUS
16,222.61228442923928,224.55167962993247,RUS
17,237.1247889760571,225.42387385218356,PIA
18,128.36424733360067,115.56229012286465,PIA
19,241.37993861626376,240.12337067528054,PIA
20,278.9152531714286,272.570108630303,PIA
21,193.99942912228215,204.89561450132132,RUS
22,156.53450265730612,152.55511789092375,PIA
23,217.89788332603075,214.05819659504294,PIA
24,233.02088587202124,229.1447524697525,PIA
25,258.3333333333333,,PIA
