Minisector,OCO,RIC,Fastest
0,258.5583844053907,263.54942895336586,RIC
1,129.73181278497415,137.4504715914144,RIC
2,268.12785255249963,265.5475076410661,OCO
3,312.0495447589234,309.4313651460063,OCO
4,313.0208553521357,310.4153662359596,OCO
5,321.99086123377776,319.3021634477682,OCO
6,327.0319588703704,331.3746981052678,RIC
7,322.4025181078261,341.64558134975897,RIC
8,204.33228919176258,196.1719535207035,OCO
9,203.76574608079736,193.61872211262204,OCO
10,182.2906429076133,184.97820923523176,RIC
11,174.01348542925064,169.14688164192654,OCO
12,255.94792761320636,246.07054488200657,OCO
13,272.8838668362531,267.86943867648273,OCO
14,280.662287249418,277.2623023380889,OCO
15,267.8653483150667,271.4343757144705,RIC
16,173.0268704497315,170.90625869044345,OCO
17,188.924503969585,192.453526759575,RIC
18,247.61914142906616,243.21938430669064,OCO
19,292.0246490519929,285.6881461934776,OCO
20,313.4701066531848,302.4436693206025,OCO
21,320.6372706226087,307.2493332707556,OCO
22,316.61824777936505,305.46001058030544,OCO
23,253.85397407384337,255.85891327296702,RIC
24,120.65315105497305,116.87430315059171,OCO
25,233.53333333333333,228.1499968,OCO
