Minisector,GAS,SAI,Fastest
0,308.1671951601793,312.5353164600823,SAI
1,236.53392401507259,235.0895706247737,GAS
2,138.36779629854186,132.02538136495357,GAS
3,221.29338647606815,221.84879960401395,SAI
4,264.9211996349793,267.38726957615023,SAI
5,290.8878866601117,292.76299749955314,SAI
6,305.6902815445364,306.5544444444444,SAI
7,283.9615150573575,272.0605709893253,GAS
8,176.27634788857736,169.27621780108925,GAS
9,242.93462156182073,244.64838976911992,SAI
10,277.2153158972096,272.0726191471799,GAS
11,259.32084427434984,256.50272524173107,GAS
12,204.39516181285617,204.1208253386633,GAS
13,131.4243110420325,123.27131947856846,GAS
14,123.43054292000646,124.07182433364159,SAI
15,165.51241968012494,157.98481452474226,GAS
16,124.79093521056956,131.20512104197638,SAI
17,226.57553187766413,230.6424906282135,SAI
18,188.50863617511152,175.00694784558954,GAS
19,164.78591122085456,164.16179741010077,GAS
20,249.7618524881719,251.45674505193907,SAI
21,279.4822929093231,280.1788201989466,SAI
22,294.01124107659996,295.534375,SAI
23,302.12777799111115,303.42253327749614,SAI
24,305.55503363438004,307.4430556444444,SAI
