Minisector,BOT,RAI,Fastest
0,234.62629642045394,235.36296355555555,RAI
1,290.09288425974023,285.9067179218574,BOT
2,306.83270842666667,298.0747024761905,BOT
3,311.7688392990476,303.13401794285716,BOT
4,280.42322201405693,277.94236907658114,BOT
5,169.53386943716933,174.13530745017957,RAI
6,263.80892888253965,263.805279821118,BOT
7,283.88384040865964,282.89798737194747,BOT
8,220.85292561269839,220.61633574421768,BOT
9,219.5036714754642,219.98908190506324,RAI
10,192.9764605922078,189.1076471180375,BOT
11,225.4221160661309,227.76682240000002,RAI
12,207.0972731371483,209.4819345007568,RAI
13,219.86192510213465,220.05002504467484,RAI
14,220.9494152382958,220.28821977011495,BOT
15,182.0150555204482,183.44570642962964,RAI
16,250.34541344041165,245.44661913577832,BOT
17,294.3640151757576,290.83577411047617,BOT
18,314.17658460208054,307.66819747845807,BOT
19,303.14316670933334,302.5381206480219,BOT
20,130.14873208619736,133.15225716012182,RAI
21,160.41370358116046,173.94482762574054,RAI
22,156.80638740684802,141.3961155055222,BOT
23,205.86188103465102,213.2476502352363,RAI
24,147.63034098692376,139.75224110415755,BOT
25,,179.9083325968254,RAI
