Minisector,GAS,ALO,Fastest
0,290.2564982412954,292.0106045393863,ALO
1,300.5311358138349,303.51420102930484,ALO
2,295.48003282337,307.0,ALO
3,190.2243417346263,189.64600047217553,GAS
4,209.33516506024026,214.0903731920484,ALO
5,203.07252321966226,201.34060317360542,GAS
6,263.61587202255646,264.7920309327581,ALO
7,258.53737653024154,260.44567890430835,ALO
8,211.26129785363287,211.55460341742233,ALO
9,211.65673651296456,214.1219876120935,ALO
10,144.63500823968468,141.84987012311225,GAS
11,205.21696743833107,203.46126719576466,GAS
12,187.32084694326716,179.20171678833333,GAS
13,253.07187452623322,255.03140607717458,ALO
14,181.45930433786535,179.96469265285714,GAS
15,231.39620934714557,232.39632304060987,ALO
16,279.4720244792381,280.9663488686659,ALO
17,285.41227277035347,292.34336174787876,ALO
18,275.8838807768819,286.6207484952381,ALO
19,265.46117455085715,265.6544356146939,ALO
20,259.57806099255413,261.0465392164102,ALO
21,260.27808040550264,263.7905966471692,ALO
22,234.29392021117985,232.36016083536742,GAS
23,207.79136376377093,206.38682903661623,GAS
24,267.8958971388904,270.1821365426087,ALO
