Minisector,HAM,TSU,Fastest
0,294.17166097828573,304.0512750248539,TSU
1,305.68451135839604,320.07628303265676,TSU
2,280.86212358978355,306.0425272180451,TSU
3,106.4866737708828,104.51809266301038,HAM
4,218.14593040680273,219.18851555517756,TSU
5,275.0020731652762,279.5632134025321,TSU
6,209.8344094664127,190.15729616378852,HAM
7,152.9648816022641,165.2624896594013,TSU
8,208.51298408063656,202.08840751266257,HAM
9,216.2846658234074,213.6597688742548,HAM
10,114.16470130643204,112.80113336777963,HAM
11,230.066405145984,226.96827175397405,HAM
12,124.98718921203337,116.38606547725364,HAM
13,226.11964656897868,222.83152271996363,HAM
14,279.8386175597976,276.13942972749203,HAM
15,210.11224571094172,202.80863793788228,HAM
16,188.08593351731102,189.86815588916315,TSU
17,250.4576613260606,243.77098724637682,HAM
18,195.77658867543838,176.2367219673712,HAM
19,177.1644052817244,184.9117960719728,TSU
20,264.88924974241024,264.7134927869434,HAM
21,288.92524230966507,288.53118781568827,HAM
22,172.33672619458756,156.58683587178993,HAM
23,215.30399677761318,216.51427915300204,TSU
24,274.7495668713256,271.9540063908322,HAM
