Minisector,NOR,RIC,Fastest
0,290.6380358552381,289.6467102877193,NOR
1,297.64702360560227,296.6962724491228,NOR
2,165.39411626666669,162.5541105101574,NOR
3,217.93469534943802,218.45933329066665,RIC
4,273.72312544,270.80947319524984,NOR
5,293.17999343068783,292.4061401824561,NOR
6,295.83032397037033,300.7044817927171,RIC
7,189.05301535632185,182.7274660315134,NOR
8,116.37055630222221,119.38795285208384,RIC
9,247.47510855064937,248.00472004480173,RIC
10,285.97278829072684,282.9389410887218,NOR
11,296.9657406814815,293.5712964740741,NOR
12,153.27422991123552,143.14458253963815,NOR
13,180.44166783999998,188.07498121064955,RIC
14,255.2108674330381,255.82845798458052,RIC
15,206.160141221978,195.92934404646505,NOR
16,216.28611146666665,218.3737315710145,RIC
17,218.7133708006604,211.99598739753088,NOR
18,243.0406931878788,245.31849157079367,RIC
19,275.6568346022166,276.9266666666667,RIC
20,292.5335649185185,293.03402773333335,RIC
21,270.1602374552381,271.66511984761905,RIC
22,228.47851952268755,224.04200004266667,NOR
23,200.30163213544972,201.27653177080578,RIC
24,264.45360105568346,263.5954363936508,NOR
