Minisector,MAG,GAS,Fastest
0,276.88447689981996,274.6808011758274,MAG
1,303.5005251485002,307.04121375492065,GAS
2,317.6035925688889,327.16107958204077,GAS
3,323.76922613333335,338.96705359960583,GAS
4,327.9306349298492,347.4583146123428,GAS
5,330.0035417866667,344.6366341127171,GAS
6,195.08007950812856,178.74080576723352,MAG
7,106.74103330123509,103.97637127964342,MAG
8,188.73090873208355,183.30986676670807,MAG
9,267.1723127932773,265.88579997777776,MAG
10,292.76265834714076,300.62711318031745,GAS
11,164.6131274806803,133.71126141126985,MAG
12,94.24891602728104,97.47007923770481,GAS
13,119.63596758806675,120.621824005301,GAS
14,224.2718879055238,218.20655176092959,MAG
15,196.27679248539025,192.96741174519187,MAG
16,231.74703587784128,223.99850942060604,MAG
17,187.3062147067998,178.87747833135785,MAG
18,242.12564591255466,241.23373413988304,MAG
19,279.73285557530863,282.55832832739566,GAS
20,245.90767884793433,219.63145826065877,MAG
21,147.87412683527685,140.52223636639818,MAG
22,97.49530588423931,98.97637852632967,GAS
23,123.60255323862114,126.01109984762914,GAS
24,228.4490354387095,231.53044433002506,GAS
