Minisector,SAI,VER,Fastest
0,269.61555428131373,274.20942742031747,VER
1,288.1770998789035,291.6349362634548,VER
2,288.2587656606211,290.46732678640956,VER
3,181.66030546342353,171.39600294767507,SAI
4,124.09028513102453,115.67780076354808,SAI
5,234.3883842871795,235.0566969133144,VER
6,274.7672968870037,278.36597507171365,VER
7,281.8261957538717,290.65414039068025,VER
8,188.00079706950098,170.7459441170652,SAI
9,145.37985411047705,139.14257444791437,SAI
10,245.37847145818182,249.23236119196645,VER
11,281.307872414409,287.41495190348274,VER
12,296.34228170307455,292.40647515668087,SAI
13,284.0869574432323,265.42333396622223,SAI
14,295.7854707934199,291.88368965586056,SAI
15,293.3959648748538,289.5418750123904,SAI
16,248.10756243482004,229.67120970477148,SAI
17,218.03220441520733,216.57173574845976,SAI
18,270.20287867580504,275.26844661461564,VER
19,293.0289255204294,298.9261760354499,VER
20,295.77618097683745,299.6882674199084,VER
21,234.39764276825434,214.21328250483944,SAI
22,254.32990775454093,254.06026097013134,SAI
23,139.09525352795737,129.67909131643682,SAI
24,215.90815656462877,220.9713455600767,VER
25,253.218748,,SAI
