Minisector,LAW,OCO,Fastest
0,288.6241506865359,289.71918861754386,OCO
1,294.34830507774893,297.0332808257143,OCO
2,153.17403577998093,160.54552196185148,OCO
3,220.85106472568665,220.70227197071895,LAW
4,268.19302005491653,274.29378303528387,OCO
5,289.4980530800907,291.8034076952381,OCO
6,300.31959827918365,297.85794637714287,LAW
7,164.64994480134024,164.4882643389322,LAW
8,132.88573066231743,130.45750523697384,LAW
9,248.51355840870747,248.2348929371429,LAW
10,282.5141237825878,284.39776266717195,OCO
11,288.37896714120933,294.7731479703704,OCO
12,134.63646557745523,136.65799766160993,OCO
13,199.44573404059403,191.63480354201224,LAW
14,256.8422677291775,257.3577154707996,OCO
15,192.78665575800397,196.9797878726089,OCO
16,213.41614218672206,209.80289285714284,LAW
17,208.33030331486984,203.2434990947034,LAW
18,241.1629743751959,239.78661055733548,LAW
19,273.6786581727273,275.392585720979,OCO
20,290.79893526716046,291.2528324525461,OCO
21,254.96044066730462,248.64581439888033,LAW
22,214.49050448654162,216.6381782831156,OCO
23,196.8803676517755,190.53268767687445,LAW
24,261.0596276306173,261.7001484794581,OCO
25,,281.0625002666667,OCO
