Minisector,HAM,OCO,Fastest
0,293.42067343946127,304.2915366777778,OCO
1,212.02559322723917,212.10291477911503,OCO
2,143.86191176950229,135.7200011888285,HAM
3,218.7246012657085,216.58252248443682,HAM
4,160.34824718753785,152.95656217658046,HAM
5,183.33173404848483,167.98179017111718,HAM
6,247.94889142454758,248.22182603174602,OCO
7,273.09295067375797,276.8336887156922,OCO
8,279.1791609765854,283.32366067142857,OCO
9,261.6580785740289,265.5215087172789,OCO
10,242.7716508082251,244.13775458580395,OCO
11,241.65760318423276,240.7921613710438,HAM
12,209.6806267295046,213.72454704987769,OCO
13,137.83121366395383,132.27636868031402,HAM
14,148.99247288081511,140.90472570544776,HAM
15,175.67351987734185,175.2241254468795,HAM
16,245.54847121402386,248.02058841292614,OCO
17,238.38896975413627,234.8199767307502,HAM
18,115.3726389760521,112.17642657488372,HAM
19,191.28200450424242,191.59073697840265,OCO
20,201.80723019802744,193.71736064190827,HAM
21,232.76866123753845,229.38526546609896,HAM
22,259.75778468414455,264.01152617539526,OCO
23,276.89533703988457,283.58541618,OCO
24,288.7596195163359,295.2847313090554,OCO
25,,300.0,OCO
