Minisector,PIA,GAS,Fastest
0,290.41053708246915,286.09069727625973,PIA
1,299.24690127058824,297.57541558257384,PIA
2,303.08697476302524,303.5252714801542,GAS
3,296.1307587994771,289.048529132549,PIA
4,165.90274750505708,170.73971332063493,GAS
5,205.17029838910057,200.44744455111112,PIA
6,230.1921349248,231.91005872803055,GAS
7,266.3855902482946,264.53882352941173,PIA
8,246.84451096596786,251.1280230148292,GAS
9,162.38836555396804,160.92927502040595,PIA
10,223.45081957225028,221.17044979422903,PIA
11,129.11059555835624,123.68185743322752,PIA
12,228.17252329416638,226.5597121360809,PIA
13,175.6394211937053,178.93776901298594,GAS
14,213.2835261511185,207.08197957125446,PIA
15,239.67917414920973,234.903125015873,PIA
16,261.65666574222223,260.2960462417305,PIA
17,284.9667233016002,283.2588888888889,PIA
18,161.3433305270242,153.17691852319433,PIA
19,166.16642093687898,158.9564652200635,PIA
20,138.5309596853633,138.04360472494184,PIA
21,229.53011928533334,223.8741104583594,PIA
22,260.2691331099385,260.38139739912987,GAS
23,251.1191298426374,242.9978857675201,PIA
24,273.0356446816803,269.1184939044282,PIA
25,,280.71250026666667,GAS
