Minisector,HAM,ALO,Fastest
0,323.5774270720802,318.83279565343884,HAM
1,337.4033499190476,329.09509175071014,HAM
2,346.18394894351815,331.86310722742854,HAM
3,185.81796508970035,183.5980993425759,HAM
4,122.01036325528058,106.79660123193962,HAM
5,263.99541381643905,263.2609557148361,HAM
6,299.09925967593784,299.32659853494766,ALO
7,313.1726033646685,314.80742627361343,ALO
8,265.9697050743259,264.54841189027456,HAM
9,142.05223222859567,137.58788505783485,HAM
10,214.0543052268967,210.98289471264368,HAM
11,206.5121314130504,202.69194493401204,HAM
12,192.27131324639507,184.56185442223486,HAM
13,265.0172953216596,265.9355594109091,ALO
14,299.71495236558223,301.60488857790324,ALO
15,311.5479697696066,315.2516426996218,ALO
16,251.06132847081085,242.96770897608465,HAM
17,208.35442397141586,208.15601115286947,HAM
18,271.57702823737714,275.13046604341054,ALO
19,304.5925692088889,306.6664578684701,ALO
20,318.7438829361953,320.31089996973463,ALO
21,298.92047225620337,293.09263285740155,HAM
22,199.75765657489296,197.53614198013074,HAM
23,257.7974498173545,261.6111998057143,ALO
24,297.0257742531987,300.52591207302413,ALO
25,308.3277774222222,,HAM
