Minisector,HAM,KVY,Fastest
0,292.1707197750567,299.59440810232144,KVY
1,302.5666453762844,317.87493704661654,KVY
2,307.50352638586145,327.22753560238846,KVY
3,307.81805556825395,325.7962728421053,KVY
4,215.03676033845122,186.1573735463978,HAM
5,232.2638348307692,227.259826834262,HAM
6,272.8968867044291,273.7405806119177,KVY
7,277.96939505720593,266.3660636289855,HAM
8,207.38529173646947,190.40706817851165,HAM
9,165.0224549569747,150.6426329302202,HAM
10,193.36456530866153,196.66029977679946,KVY
11,264.2792339137572,265.1611453408618,KVY
12,263.9607199152772,248.61525534444363,HAM
13,240.21434666116366,231.7591305668561,HAM
14,279.2175722136646,270.1649065010352,HAM
15,189.99847802781377,171.4266757787494,HAM
16,229.35709795555556,228.5395056103963,HAM
17,256.53038596404224,247.36166774857142,HAM
18,144.89389815962053,138.34427316569207,HAM
19,246.20599401021397,248.25537908201557,KVY
20,282.4261901714286,287.3577647030303,KVY
21,266.38600708123005,249.89362754285716,HAM
22,156.77970075897434,146.75198947620925,HAM
23,222.54049781036593,221.54891513293475,HAM
24,274.69428032132504,277.0464218030728,KVY
25,281.1714285714286,,HAM
