Minisector,BOT,VET,Fastest
0,249.6927316597456,242.55471255281518,BOT
1,283.51902172753626,268.36733333333336,BOT
2,183.88194039814937,184.1382699685731,VET
3,150.06069202859751,154.56179516335223,VET
4,257.29382716049383,256.9032051282051,BOT
5,264.86336098694505,260.1523765728395,BOT
6,212.46458333333334,206.57070707070707,BOT
7,192.27617589169742,199.67926472156864,VET
8,151.80313659030483,149.29979799649104,BOT
9,207.68333333333334,204.64040404040404,BOT
10,269.9984727089266,264.43493591794874,BOT
11,124.40862230494861,130.23998642186868,VET
12,205.68846748552045,200.0853011360904,BOT
13,270.12586809052095,264.45535834505466,BOT
14,292.3539370222433,285.8855903111111,BOT
15,302.26213769275364,290.98478260869564,BOT
16,251.42887175727193,256.15243916333424,VET
17,131.6322044558945,135.46680518210675,VET
18,126.07580157636448,127.48026574855865,VET
19,117.7870583273292,118.02529425341542,VET
20,224.70597289720857,213.98620338110035,BOT
21,247.30052121289313,247.00129052308324,BOT
22,232.30909272906405,243.12548815193145,VET
23,214.24230181371266,218.67673933780304,VET
24,137.44186651919014,137.98309615303003,VET
25,217.55,206.73437706666667,BOT
