Minisector,BOT,ERI,Fastest
0,268.5614836448391,258.2372324917872,BOT
1,132.86533836976542,132.62161459697558,BOT
2,269.77372532244897,259.80153111292515,BOT
3,312.253830426501,298.66025661538464,BOT
4,310.20850693333335,296.2716665721905,BOT
5,321.21214847445884,301.6282987111111,BOT
6,335.2465911143687,306.35433335466666,BOT
7,339.26837110303035,308.3612847111111,BOT
8,205.43711201427658,213.18995310145488,ERI
9,203.9354358979124,195.52275784276324,BOT
10,180.25944041289708,194.7412424174708,ERI
11,171.04879457845777,158.65972304494392,BOT
12,259.0998131644578,246.7542077031961,BOT
13,276.14587878681317,280.3307098074074,ERI
14,281.00081285741135,278.0490634051676,BOT
15,272.79791459591837,281.26243541446206,ERI
16,190.62346859555853,186.47750316836735,BOT
17,195.8847962954284,193.45362211375954,BOT
18,245.92314942098605,238.32886439047618,BOT
19,291.5742472035389,284.23250446625775,BOT
20,311.9997398666667,303.24386412893773,BOT
21,316.5345497043478,309.29420289855074,BOT
22,315.0621527555556,308.91100002133334,BOT
23,261.82935776040205,276.3459938868313,ERI
24,117.2285245096583,112.63145082904826,BOT
25,,223.83333262222223,ERI
