Minisector,RUS,LAT,Fastest
0,270.5695008571428,278.9925795317216,LAT
1,288.1101723829368,302.0761824018546,LAT
2,276.07735216761904,280.0986230514436,LAT
3,146.5537477272369,146.82908239563858,LAT
4,186.39628378304118,179.54470358910507,RUS
5,169.75704461218163,153.64650005359826,RUS
6,157.95593857177164,152.46199582534567,RUS
7,182.96406582944613,182.38655021101908,RUS
8,235.35398512727184,236.49092017004065,LAT
9,232.95276496507935,231.9891989320635,RUS
10,139.5807103833276,137.09622809326424,RUS
11,215.65259680723952,213.58205112786354,RUS
12,102.0973506962471,101.30918222158033,RUS
13,207.82828914144247,216.7189277516255,LAT
14,262.7037083854968,272.36534658386944,LAT
15,273.0761230872381,276.7261549181109,LAT
16,169.4441491952055,159.2584520626882,RUS
17,155.95638662772487,153.8042661969403,RUS
18,250.37543549401212,255.3417638342443,LAT
19,276.26533534376813,288.03993350772487,LAT
20,286.30004876190475,303.37840131444744,LAT
21,282.1179882628839,271.91163241189076,RUS
22,248.3710044665904,218.74867933884417,RUS
23,100.71100892550416,95.43762758721984,RUS
24,223.1795184142222,225.26808979985347,LAT
25,257.01500032,,RUS
