Minisector,HAD,LAW,Fastest
0,315.8428526520357,311.18067162642666,HAD
1,328.39439176388913,326.25119779952496,HAD
2,333.110837301286,331.26356269286555,HAD
3,309.4855260927721,300.67936630717685,HAD
4,156.84439687314566,147.41896737758296,HAD
5,191.91167674949065,183.1823863556729,HAD
6,220.44475462119908,208.29910065789943,HAD
7,261.9279763266943,258.3430673318032,HAD
8,247.73586690583505,223.74029236324526,HAD
9,153.27403672934832,144.10335363441925,HAD
10,215.6158019823045,196.19897868573855,HAD
11,126.49457470929651,119.37329189923877,HAD
12,226.6456357282493,233.4645852367231,LAW
13,168.4781016125882,169.55900182008932,LAW
14,210.9337597503898,204.5636091856828,HAD
15,222.528046738407,215.92717000714376,HAD
16,261.64747292414785,251.57999009723437,HAD
17,296.66386922139077,288.27040832247087,HAD
18,138.57706492276856,138.8541101227664,LAW
19,153.84396455756078,150.7481751220838,HAD
20,128.82910567314093,128.0571159401935,HAD
21,222.15130957659252,219.06811181568438,HAD
22,250.0641308901885,248.50144795335856,HAD
23,232.42810510647539,220.3289224503253,HAD
24,281.74083360255776,277.53719308451423,HAD
25,307.3112043993724,300.4267791210945,HAD
