Minisector,RUS,VER,Fastest
0,303.4850731006984,307.079594935456,VER
1,313.4861109894737,328.43862444021164,VER
2,305.0692694293996,317.96822894102445,VER
3,176.2619034501852,170.75599421530765,RUS
4,221.43929390540282,212.67726251970785,RUS
5,200.67846935132906,190.68492646737914,RUS
6,178.48021769049,177.67163359668652,RUS
7,206.67704085764933,204.8780067475517,RUS
8,255.9959368257047,256.4942005944615,VER
9,259.81040429758616,249.72892999274652,RUS
10,177.99115773138442,165.2775719933634,RUS
11,229.46480303576885,231.42016531967158,VER
12,124.21497292059358,126.95048189080025,VER
13,245.4171040500122,237.35565774687134,RUS
14,276.73019900061024,277.76767397483405,VER
15,273.8458394795604,273.44949135376623,RUS
16,218.37570111781437,198.42317929266068,RUS
17,193.80424983811446,193.74310791542072,RUS
18,295.762570344583,291.7912112258302,RUS
19,332.5537826238219,322.9129464947734,RUS
20,345.4600002234921,324.13197424454063,RUS
21,321.07166987791004,300.38722073563,RUS
22,279.0775841536204,244.29676630292494,RUS
23,122.80674021725595,124.2143610515414,VER
24,245.65561463452656,253.7988032742477,VER
