Minisector,NOR,OCO,Fastest
0,278.7362205087818,279.86370044725874,OCO
1,298.93574881026984,297.9464976854391,NOR
2,294.9213756621877,295.58869395142494,OCO
3,173.2687331150892,180.57524498512896,OCO
4,124.32106976430528,123.92571637258847,NOR
5,240.86159398738602,237.51255515920337,NOR
6,282.74262773333334,280.48363320642875,NOR
7,288.7946142695925,287.584666496,NOR
8,186.0909567436074,187.0911353316724,OCO
9,144.41156807136497,149.20605912684633,OCO
10,254.2990343983826,252.79181634285715,NOR
11,289.8184519497143,289.4184891837093,NOR
12,298.73395253638097,299.64870994920636,OCO
13,282.03718117110077,276.76066855384613,NOR
14,295.3789690837237,294.497178904381,NOR
15,298.7099371922193,296.31944400000003,NOR
16,251.20609444653326,259.95961627553396,OCO
17,230.41815238143562,226.26445623805628,NOR
18,278.8923515674843,275.4476477229783,NOR
19,298.827034980693,296.6339890297809,NOR
20,297.5791132728735,293.7255462458196,NOR
21,228.64743769927668,236.4071740381876,OCO
22,259.90889383690563,257.97198077916175,NOR
23,139.0362332588879,145.9881221470753,OCO
24,218.60146722463392,216.65060620700143,NOR
25,260.73333333333335,260.32500088888884,NOR
