Minisector,TSU,ZHO,Fastest
0,291.93988909259815,287.99708257829485,TSU
1,301.8946348552109,296.7718796062156,TSU
2,280.67648032484846,278.6314242266474,TSU
3,107.71407018849969,105.76234073035629,TSU
4,214.8843860393211,219.13095024344594,ZHO
5,277.03810639294164,268.71025074444447,TSU
6,206.15152001315883,211.5167707697218,ZHO
7,153.52280864664223,157.19839122560813,ZHO
8,203.9958087036206,206.33993446062377,ZHO
9,215.06275004470095,212.1783854911177,TSU
10,111.7917463108583,118.20487809524268,ZHO
11,223.46104788212372,222.6488554693004,TSU
12,111.17378590992884,118.07085732315656,ZHO
13,220.7575292542338,213.9187340941848,TSU
14,286.48258396998557,269.8101731568254,TSU
15,207.6873467797672,218.28087814048595,ZHO
16,183.06580920707484,178.65022975970615,TSU
17,243.462451882106,242.265121382196,TSU
18,196.00737545389356,208.50253866133335,ZHO
19,168.29967758717487,171.9557072191832,ZHO
20,261.922108759798,256.1160741596135,TSU
21,288.108494660659,282.52821391109717,TSU
22,166.78011846690862,174.5797724763758,ZHO
23,205.9568615832749,198.77516233037767,TSU
24,272.81528521336065,266.43307240874003,TSU
25,290.2204549818182,280.7833329777778,TSU
