Minisector,LEC,HAM,Fastest
0,272.2932140136296,285.42647123002797,HAM
1,115.45387174755066,120.90795026057371,HAM
2,170.71370948883032,166.54759965211653,LEC
3,211.6406037050206,211.48037165820105,LEC
4,171.83403077455057,160.3216319193896,LEC
5,244.81016028604847,244.65070251238095,LEC
6,213.61339467012988,200.50178279212471,LEC
7,141.73788839270492,142.33499211026455,HAM
8,237.36960654175755,239.11798287088772,HAM
9,277.2006410190999,279.3986616,HAM
10,289.95172286743383,284.63206383103415,LEC
11,154.78576165358538,153.54569792254483,LEC
12,225.0511614548466,229.1318411958095,HAM
13,270.94894690698413,273.30301978589745,HAM
14,270.21371600234176,261.5839255108546,LEC
15,104.6702464654804,98.91698045362865,LEC
16,226.0052696198421,225.73188974370032,LEC
17,273.88102714277767,273.6139920088247,LEC
18,292.2281424551782,294.63335222952384,HAM
19,305.9238489955556,305.1998264,LEC
20,311.18221108278016,309.81477762812654,LEC
21,297.2525755755025,264.4777905593074,LEC
22,159.92560454778393,157.29057650207477,LEC
23,234.6098842910712,241.03763088617458,HAM
24,278.42568409878027,278.2342487291992,LEC
