Minisector,NOR,HAD,Fastest
0,313.5736986952381,315.8428526520357,HAD
1,325.0309050238924,328.39439176388913,HAD
2,328.80571187364853,333.110837301286,HAD
3,311.2959844667086,314.2512278322902,HAD
4,153.21457027897125,159.46231955465709,HAD
5,186.96741846683727,191.39575642780702,HAD
6,215.70278098359734,219.87712556810348,HAD
7,259.9000531917133,261.9279763266943,HAD
8,239.30238606335382,257.2816410999924,HAD
9,151.84465550314243,152.54352917895739,HAD
10,203.91181028313167,214.7047270330418,HAD
11,127.45558598008023,123.60800672402493,NOR
12,233.47535400173163,221.37455128448272,NOR
13,157.94977806843744,169.1653914800941,HAD
14,214.982941925409,206.71255925835862,NOR
15,224.98058220638583,222.528046738407,NOR
16,261.55091306046336,260.2078662359451,NOR
17,289.87261416605827,298.76021122281685,HAD
18,152.80607710866428,148.7425016082001,NOR
19,159.79168227772035,152.45153259487446,NOR
20,135.69075947582638,128.82910567314093,NOR
21,226.5600036832368,221.4028119407314,NOR
22,248.86791534488438,250.09101165390751,HAD
23,233.92192038780385,230.85078494165677,NOR
24,283.71088370022534,278.90207368716716,NOR
25,,307.3112043993724,HAD
