Minisector,NOR,GAS,Fastest
0,271.92873250562195,265.45119557023065,NOR
1,251.46336912787092,248.8948838233766,NOR
2,118.53289174101741,118.07919362762733,NOR
3,169.14204519736035,163.99719887899337,NOR
4,196.97327890229278,186.16582079238097,NOR
5,195.03229650648203,196.64909825412477,GAS
6,263.4506924364626,262.9821328872727,NOR
7,286.1806043687619,284.7467412123077,NOR
8,224.97460080263954,218.65764091654322,NOR
9,143.52531568467106,140.96102009310025,NOR
10,112.15670925955258,113.67234295838857,GAS
11,153.89476226831042,151.2805177468476,NOR
12,244.35001243255863,240.5834030443064,NOR
13,149.90665412404994,147.1770511040984,NOR
14,141.31992613965,142.44119242329063,GAS
15,107.57995703240941,109.5824383173502,GAS
16,216.92314436097158,218.02336973328448,GAS
17,231.34475274891255,223.47754070031746,NOR
18,125.09902056703005,127.29720689809524,GAS
19,238.2244776518595,242.28185840087926,GAS
20,275.54628634324206,274.37822967840214,NOR
21,210.3959696152381,195.15035713423208,NOR
22,138.20433826753646,141.46207218980408,GAS
23,213.05959125090908,215.48850996552093,GAS
24,224.53894401135074,224.64737253785134,GAS
