Minisector,ANT,PIA,Fastest
0,283.4222383085236,280.6564407901821,ANT
1,153.78787376556662,144.48253152200343,ANT
2,165.8208445846184,171.56556249854174,PIA
3,246.96024367171503,244.14965128082815,ANT
4,267.8673684210526,265.8651483679481,ANT
5,245.0464203491364,234.7374450730159,ANT
6,214.88876695511024,214.2277177331861,ANT
7,143.52167826363387,148.43386363291143,PIA
8,227.58339902268398,226.58418932465457,ANT
9,299.32839673377197,297.08450663726734,ANT
10,321.107436033115,319.404755147484,ANT
11,325.48754167466666,317.74220972929294,ANT
12,317.96399697234295,310.65809946326823,ANT
13,310.8164457825427,306.98487677182175,ANT
14,125.367183438346,129.17525718518456,PIA
15,115.74442709599639,119.9945327529643,PIA
16,99.12454581327354,102.09452662443785,PIA
17,239.94448240899473,237.2479546849831,ANT
18,306.15584704903864,303.02914468175555,ANT
19,317.6121522309775,321.77703279191917,PIA
20,314.8109062533333,321.85768775306826,PIA
21,312.5970944296613,315.84986842105263,PIA
22,122.75939297044481,118.77832237723705,ANT
23,205.85184332538415,203.34400876268813,ANT
24,269.99526363659464,273.0285723167705,PIA
25,,286.2,PIA
