Minisector,RUS,BOT,Fastest
0,303.8335151542857,287.5964740166739,RUS
1,316.77754913114285,296.98196944484846,RUS
2,321.4891433533336,293.3508600270988,RUS
3,186.709401734428,178.79894608299324,RUS
4,206.1893562176086,205.04557559574613,RUS
5,202.48684332416155,207.72104783272388,BOT
6,258.9922966384689,262.57370735170474,BOT
7,253.5184609886484,244.33833400401568,RUS
8,201.94164266710453,200.59273883644101,RUS
9,205.80138885079364,208.91520681858486,BOT
10,145.10504222558558,136.23742328052776,RUS
11,201.78599724263051,202.69382160545064,BOT
12,184.1574851504303,180.20571105559748,RUS
13,245.01204832741703,243.5030268530562,RUS
14,176.88658893930796,176.0026217141024,RUS
15,229.19492844761905,230.996688561093,BOT
16,269.5198394964858,274.6981113532807,BOT
17,272.05317233939394,273.16257186011427,BOT
18,261.16995984839537,250.9703396167198,RUS
19,247.24563761433933,241.73315800241727,RUS
20,249.78977272727272,246.2173669034921,RUS
21,252.37188528139555,254.00665234112373,BOT
22,218.6081945342382,226.1937633974892,BOT
23,199.464049357817,196.37415706821687,RUS
24,265.27017620070075,264.450069448945,RUS
25,,279.11999936,BOT
