Minisector,HAM,GAS,Fastest
0,289.0516921924515,287.26990307145564,HAM
1,289.7939480177778,290.40652223238095,GAS
2,160.1207960850315,163.55138431180828,GAS
3,219.25313897243637,224.81785697823807,GAS
4,271.22142415407404,271.2892419242756,GAS
5,292.53022504296297,290.94425517245736,HAM
6,301.0016667022222,294.4391097309091,HAM
7,161.72813018585705,171.1506880699928,GAS
8,131.05106429825244,127.06042227223065,HAM
9,250.99534183783823,247.38948167896103,HAM
10,282.9487032311512,283.5650162640602,GAS
11,290.12868206248197,291.0094282260907,GAS
12,145.25283089704124,140.27415272227995,HAM
13,191.05826334144004,194.90606251031642,GAS
14,254.13159464575165,252.39741519295143,HAM
15,206.70119401086419,200.7360328017602,HAM
16,210.76256387959,217.62180640000003,GAS
17,209.82101178778473,208.50936592250193,HAM
18,243.48575605094183,244.50947988723811,GAS
19,277.65112085333334,275.4402833682778,HAM
20,294.7752436112747,288.19101566,HAM
21,259.05722756303993,259.1994084336996,GAS
22,218.6102797357661,220.23086826591378,GAS
23,203.90664810497353,204.80705420704604,GAS
24,262.5132421055479,261.68220187247715,HAM
25,279.34285714285716,,HAM
