Minisector,ALB,LEC,Fastest
0,298.6384059670588,292.17643759741173,ALB
1,318.00731456256904,304.6248637714286,ALB
2,326.9717612504202,312.6420571168337,ALB
3,328.5940971555556,313.7673808457143,ALB
4,191.91028680360043,197.49731491111817,LEC
5,229.05991680084657,220.45377277573192,ALB
6,266.7808885827176,267.92400184128337,LEC
7,264.5681893925926,263.50723185497077,ALB
8,199.22412070623236,194.3428380233745,ALB
9,139.72980543851853,146.68815414383542,LEC
10,177.89703632006325,177.32561975876095,ALB
11,263.3532706380045,261.928453430303,ALB
12,246.92431357930982,247.50511380800148,LEC
13,233.6908862153846,235.80038718984125,LEC
14,269.4743471288496,273.7669622277633,LEC
15,171.72233279396826,163.83554680517832,ALB
16,232.47200086262626,219.86737065871634,ALB
17,244.13475093564213,233.84781425262693,ALB
18,135.07901669187083,131.0599266713173,ALB
19,241.80934399492062,243.97744793476585,LEC
20,283.19943628196984,285.08333730844447,LEC
21,246.20683483826087,239.27020823390475,ALB
22,142.91848014307303,140.9880694827602,ALB
23,218.34326516114285,214.87730183314284,ALB
24,272.04088835969134,270.6022889774024,ALB
25,284.0071424,,ALB
