Minisector,RUS,MAG,Fastest
0,299.60312413617316,301.36609128507934,MAG
1,241.37285385315923,242.2366626133619,MAG
2,133.13253468753624,131.2756090156333,RUS
3,238.7424544349787,235.89182358952382,RUS
4,191.78291854319326,187.1024336944799,RUS
5,244.7704358335952,249.01670782655032,MAG
6,233.6843185158423,223.3985376945372,RUS
7,258.3252460732138,248.8653639925178,RUS
8,284.67109546971426,286.7285107067372,MAG
9,201.41189140270043,212.0916728035747,MAG
10,205.4654627545705,196.6748797485208,RUS
11,273.70366800022083,272.4924108219202,RUS
12,216.75180156495375,205.286568203813,RUS
13,253.21759208067624,242.54598377348827,RUS
14,289.5134363105102,289.58434479277867,MAG
15,304.30806774724635,314.64845375125134,MAG
16,301.2450777023052,321.25716222651783,MAG
17,213.66952168276376,195.39587562002512,RUS
18,257.22493908544516,251.8561150182716,RUS
19,293.3458336646465,298.14789090802753,MAG
20,306.5690169204427,323.863793422666,MAG
21,309.772886872381,326.6445184939829,MAG
22,151.84212546880036,147.45824424663707,RUS
23,231.39690095942652,225.28419481453105,RUS
24,280.9795109809778,294.4084309736811,MAG
25,,311.85714285714283,MAG
