Minisector,ALB,OCO,Fastest
0,297.02103546908785,293.47519429549317,ALB
1,304.40016664533334,300.4582545153484,ALB
2,221.19510493788437,219.68648896231883,ALB
3,133.59755574493616,129.27614461166752,ALB
4,216.42630981438072,217.92221471215007,OCO
5,158.80995535585632,172.8247959080972,OCO
6,164.78688294304226,159.70770014112605,ALB
7,252.39099482666668,244.38781693643176,ALB
8,280.0840384948067,274.1625729696508,ALB
9,289.6084927152941,283.8993004647619,ALB
10,260.41244246786596,270.45954997025507,OCO
11,234.51321011699056,245.31043554031748,OCO
12,235.0445934167325,250.45331474584498,OCO
13,207.14856256333,213.16041303943484,OCO
14,125.15420571793243,134.75460822693546,OCO
15,137.10136738482365,146.50828379579798,OCO
16,173.05122814423356,154.1860780640987,ALB
17,253.44120645614035,238.9530912336842,ALB
18,248.21826460815268,260.4789743266277,OCO
19,114.12297511774827,121.84730376589756,OCO
20,186.84479847692688,171.2859628150564,ALB
21,196.43395694880238,202.78369911652175,OCO
22,233.65882614141412,211.5256791851196,ALB
23,272.5219821920182,253.63409689184766,ALB
24,296.40494022440856,274.3937832816935,ALB
25,306.821316048388,286.84645818666667,ALB
