Minisector,LEC,BEA,Fastest
0,287.581810932321,285.80208282190875,LEC
1,305.21720411390345,302.7630786074074,LEC
2,305.6606829950938,300.7261236801832,LEC
3,201.8198385583473,199.25882514459863,LEC
4,234.0118638455944,232.93709493216116,LEC
5,223.39987038384928,223.12464314958262,LEC
6,205.06525097991704,212.70439632118516,BEA
7,227.08432976017957,229.3667239711111,BEA
8,265.04933074239773,264.4294995772583,LEC
9,277.2511915423084,265.14624449261083,LEC
10,176.61668690591407,174.97135807322752,LEC
11,237.40009560915985,235.54928666914842,LEC
12,121.06820534257054,118.24645821049809,LEC
13,221.31305989250663,222.91310557206552,BEA
14,278.03097547826087,277.38613226099557,LEC
15,293.924589202963,285.88418350994283,LEC
16,226.4788249579233,216.2514823851234,LEC
17,185.17509748395793,187.06570984159487,BEA
18,266.54880331409595,268.1163074985538,BEA
19,292.5762795323077,290.70121069834585,LEC
20,304.43842784242423,301.02492548736154,LEC
21,306.2201885622575,301.73211231122656,LEC
22,272.28572413856983,269.2601768969453,LEC
23,120.47256576771365,120.3555268629483,LEC
24,247.84176429154834,241.6408107754882,LEC
25,,272.9624992,BEA
