Minisector,RIC,OCO,Fastest
0,261.3164120054422,263.4464423883422,OCO
1,134.02802911913852,125.25379858083234,RIC
2,194.0853781879604,196.53593351303692,OCO
3,242.61696396190476,247.83898644016818,OCO
4,254.19356485612244,259.3500801100177,OCO
5,170.7736026767033,170.09047679999998,RIC
6,143.24121535239988,139.8488961433954,RIC
7,184.94261758899006,182.1446056055322,RIC
8,101.6213110836332,102.90476983424813,OCO
9,77.40151233630291,73.37096645757187,RIC
10,97.61694411182772,94.29561882639591,RIC
11,180.87424048039966,178.1985392877548,RIC
12,241.78093097384647,245.4385529339279,OCO
13,265.33571405714287,271.8558257336194,OCO
14,276.31039059231216,280.9641142984127,OCO
15,123.45754444937809,110.32335107754302,RIC
16,136.19045034392076,145.16926739846346,OCO
17,188.82459208822056,181.15294425983328,RIC
18,195.63822846730417,195.6657457087098,OCO
19,215.04879122170126,202.44132769187885,RIC
20,136.21991470579263,127.35254158827202,RIC
21,121.20984361151805,109.73793388647266,RIC
22,92.87273681813069,95.90264175995007,OCO
23,190.37708432592592,199.70715158727754,OCO
24,244.14918304676894,252.4105885101166,OCO
25,259.38,,RIC
