Minisector,VET,GRO,Fastest
0,298.0252604666667,291.19309677876,VET
1,307.9524234122449,298.15000064000003,VET
2,172.496415550193,161.53054235704653,VET
3,231.00312512,221.95208325333334,VET
4,280.42923379237095,271.51666714074076,VET
5,298.55559032165684,294.0156248,VET
6,304.34000000000003,303.1333331911111,VET
7,179.6441971047619,174.21812648315048,VET
8,133.84202368,131.55784040489795,VET
9,254.215942523465,249.5779338495699,VET
10,286.484375,284.11718766666667,VET
11,299.44973953333334,297.748177,VET
12,154.04209280540087,152.53025292142792,VET
13,196.84373643395446,195.11314157170887,VET
14,264.80812266078175,257.4265969466669,VET
15,203.63405787826088,196.99991295555557,VET
16,226.58486782643362,217.73769950476193,VET
17,219.86746031746029,210.42272238509315,VET
18,250.71947786232494,240.86937905608465,VET
19,280.680638634822,271.9635877764506,VET
20,296.6306372392157,289.1252778666667,VET
21,262.20485501632356,250.73282768093299,VET
22,230.07395882666665,216.2950394920635,VET
23,206.93465856969698,198.85572995555557,VET
24,267.2186273882353,262.6550936296296,VET
25,286.7,281.05,VET
