Minisector,NOR,STR,Fastest
0,259.2282404345679,261.3150240530845,STR
1,234.89867658175325,227.85519565889766,NOR
2,148.47121011318671,131.25706154530943,NOR
3,244.41107420341567,235.21929575683347,NOR
4,268.79816661333336,271.37520393513495,STR
5,187.34119522126196,179.13673334911533,NOR
6,103.17119616214161,101.24585264458368,NOR
7,135.4787504885077,133.68049862027394,NOR
8,248.79465094379756,252.13996676458257,STR
9,173.56013451209094,163.25997324687106,NOR
10,188.36585525014107,177.84723646461632,NOR
11,256.32489305982904,258.4479167589744,STR
12,250.73481437377717,257.73961517159637,STR
13,266.3139999146667,265.59947600457144,NOR
14,284.42688949137886,284.3244464480773,NOR
15,285.6538201777778,269.6923812312822,NOR
16,150.23871720771447,138.21125710787075,NOR
17,235.95621675509946,230.45258555270937,NOR
18,276.4168972564029,277.1095843918788,STR
19,286.8524854266342,288.54501485714286,STR
20,288.99109620952385,291.7965579130435,STR
21,291.11439393939395,297.78829846856877,STR
22,154.28666457725933,143.1282781047905,NOR
23,84.52341220343297,81.71008576615566,NOR
24,171.07202348952381,166.22696939399486,NOR
25,,241.48958399999998,STR
