Minisector,GAS,SAI,Fastest
0,294.7827147511062,297.76874908748664,SAI
1,302.518541592381,307.54828285537866,SAI
2,224.16433979048756,221.8678906793651,GAS
3,135.05256589511214,136.11928269751587,SAI
4,216.25035410330412,220.35105420650038,SAI
5,165.30483578770662,164.29254503371453,GAS
6,169.48833990587147,166.53374081544126,GAS
7,248.18467959123808,251.07461343893164,SAI
8,278.13452337665444,280.67754897568625,SAI
9,287.38153989967844,291.1262254745098,SAI
10,258.0165205866667,256.30400045122246,GAS
11,238.45133271640603,237.1226560977778,GAS
12,241.6194122011191,240.81712137729335,GAS
13,212.79978721220198,207.52112287072464,GAS
14,132.40469407592852,127.80064999779822,GAS
15,138.80090129260068,141.47159808120875,SAI
16,167.73786661478456,165.63380777265795,GAS
17,252.91037611669435,246.71228666835975,GAS
18,254.85227143728176,253.65148412533335,GAS
19,115.68286487840494,116.30860600431633,SAI
20,187.43585004036618,187.200776245549,GAS
21,195.1984404670602,200.76972857971015,SAI
22,232.59580265758734,229.4158247988827,GAS
23,269.4358116658462,263.0831138049123,GAS
24,293.0837446596248,284.1781195527171,GAS
25,,293.78000128,SAI
