Minisector,ALO,OCO,Fastest
0,291.4296368903511,290.74730835333503,ALO
1,173.54738018050952,163.98589312178245,ALO
2,172.10693729087865,170.62114317820004,ALO
3,253.71717115936508,251.9112132040917,ALO
4,286.8274445591139,283.0496469181103,ALO
5,250.7710891140691,241.58923437249496,ALO
6,220.6341823209524,225.26632452586972,OCO
7,149.44300333616843,150.56678244266655,OCO
8,224.2178537054277,226.00722042264934,OCO
9,280.4841662422857,280.5285767975588,OCO
10,298.61332166359153,301.5119562187755,OCO
11,308.130069391746,311.93828594619885,OCO
12,312.33854626807016,316.41104278133946,OCO
13,309.3732427188889,312.35689547655807,OCO
14,124.73104697582352,127.86599135301536,OCO
15,113.95260039332294,117.99458558427781,OCO
16,100.55376574634423,98.28682515944301,ALO
17,232.74588766550937,230.24520386855366,ALO
18,287.39956909760207,284.47204411238096,ALO
19,307.8531074906667,309.0449005956501,OCO
20,317.98087552293356,319.61753887336516,OCO
21,318.52216268927987,322.4576952671983,OCO
22,124.59651833136468,118.1116101912775,ALO
23,205.00372802630386,198.91033574410116,ALO
24,270.59669302652526,270.78866392573,OCO
25,,286.2916672,OCO
