Minisector,RIC,OCO,Fastest
0,296.8119053028571,287.59362827836935,RIC
1,308.6395363849624,298.6079169066667,RIC
2,313.4383771508772,302.7942984421053,RIC
3,304.56416544,302.38442767719295,RIC
4,166.29290680301443,169.95504838965988,OCO
5,207.67718802411062,200.34313652646753,RIC
6,228.5055070778834,225.42115446153846,RIC
7,263.7135820783686,260.5479474210658,RIC
8,263.0020489609281,251.91448885797104,RIC
9,160.91841640542475,156.9418306189881,RIC
10,226.8982767671382,223.60416774320987,RIC
11,127.32085606057504,127.95724250517492,OCO
12,228.00990372571428,223.46838602783885,RIC
13,184.04512282172917,184.5265724968668,OCO
14,219.3956717948718,214.15602054320988,RIC
15,248.89122342939766,236.81543172259498,RIC
16,265.77227233181645,255.56974743188405,RIC
17,286.5057538031746,279.8732146285714,RIC
18,156.52880939391295,168.2210675809524,OCO
19,168.2177943449594,163.746155449304,RIC
20,140.1474590317087,139.6918664815906,RIC
21,165.26898873560557,166.97969027748758,OCO
22,113.54488768034349,110.7895608736312,RIC
23,226.02756315897435,210.58623121940826,RIC
24,272.37499686836276,263.48271137193535,RIC
25,,279.6083349333333,OCO
